season,player_id,first_name,last_name,player_name,position,height_wo_shoes,height_wo_shoes_ft_in,height_w_shoes,height_w_shoes_ft_in,weight,wingspan,wingspan_ft_in,standing_reach,standing_reach_ft_in,body_fat_pct,hand_length,hand_width,standing_vertical_leap,max_vertical_leap,lane_agility_time,modified_lane_agility_time,three_quarter_sprint,bench_press,person_id,round_number,round_pick,overall_pick,team_id,organization,person_id_player,display_first_last,birthdate,school,country,draft_year,draft_round,draft_number
2001.0,2198.0,Kwame,Brown,Kwame Brown,PF-C,82.0,6' 10'',79.0,,243.0,85.0,7' 1'',108.0,9' 0'',8.9,8.75,9.5,30.0,33.0,11.59,3.1,3.45,17.0,2198.0,1.0,1.0,1.0,1610612764.0,Glynn Academy,2198.0,Kwame Brown,1982-03-10 00:00:00,Glynn Academy HS (GA),USA,2001,1,1
2001.0,12031.0,SirValiant,Brown,SirValiant Brown,PG,71.0,5' 11'',79.0,,176.0,76.0,6' 4'',92.5,7' 8.5'',6.7,8.75,9.5,31.0,39.5,11.23,3.1,3.0,10.0,203469.5,1.0,15.0,27.0,1610612753.0,,203479.5,,,,,,,
2001.0,2245.0,Damone,Brown,Damone Brown,SF,80.25,6' 8.25'',79.0,,202.0,83.75,6' 11.75'',104.5,8' 8.5'',6.7,8.75,9.5,32.0,37.0,11.81,3.1,3.27,6.0,2245.0,2.0,8.0,36.0,1610612755.0,Syracuse,203479.5,,,,,,,
2001.0,12032.0,Ryan,Carroll,Ryan Carroll,SF-SG,76.0,6' 4'',79.0,,202.0,80.25,6' 8.25'',99.0,8' 3'',8.0,8.75,9.5,34.5,39.0,11.0,3.1,3.1,14.0,203469.5,1.0,15.0,27.0,1610612753.0,,203479.5,,,,,,,
2001.0,2199.0,Tyson,Chandler,Tyson Chandler,SF-PF,83.5,6' 11.5'',79.0,,224.0,87.0,7' 3'',110.0,9' 2'',6.7,8.75,9.5,31.0,33.5,12.13,3.1,3.36,2.0,2199.0,1.0,2.0,2.0,1610612746.0,Dominguez,2199.0,Tyson Chandler,1982-10-02 00:00:00,Dominguez HS (CA),USA,2001,1,2
2001.0,2251.0,Eric,Chenowith,Eric Chenowith,C,85.0,7' 1'',79.0,,264.0,88.0,7' 4'',111.0,9' 3'',12.9,8.75,9.5,23.5,27.5,12.5,3.1,3.59,6.0,2251.0,2.0,14.0,42.0,1610612752.0,Kansas,203479.5,,,,,,,
2001.0,2439.0,Sam,Clancy,Sam Clancy,PF,78.25,6' 6.25'',79.0,,242.0,86.75,7' 2.75'',107.0,8' 11'',8.0,8.75,9.5,31.0,34.0,11.47,3.1,3.13,15.0,2439.0,2.0,16.0,44.0,1610612755.0,Southern California,203479.5,,,,,,,
2001.0,12036.0,Gyasi,Cline-Heard,Gyasi Cline-Heard,PF,78.25,6' 6.25'',79.0,,231.0,83.5,6' 11.5'',103.0,8' 7'',8.0,8.75,9.5,31.5,34.5,11.4,3.1,3.23,11.0,203469.5,1.0,15.0,27.0,1610612753.0,,203479.5,,,,,,,
2001.0,2215.0,Jason,Collins,Jason Collins,PF-C,82.25,6' 10.25'',79.0,,251.0,88.5,7' 4.5'',110.0,9' 2'',12.9,8.75,9.5,25.5,28.5,12.1,3.1,3.54,8.0,2215.0,1.0,18.0,18.0,1610612745.0,Stanford,2215.0,Jason Collins,1978-12-02 00:00:00,Stanford,USA,2001,1,18
2001.0,2260.0,Jarron,Collins,Jarron Collins,C-PF,81.25,6' 9.25'',79.0,,252.0,87.0,7' 3'',104.0,8' 8'',15.2,8.75,9.5,23.0,29.0,11.65,3.1,3.6,10.0,2260.0,2.0,24.0,52.0,1610612762.0,Stanford,2260.0,Jarron Collins,1978-12-02 00:00:00,Stanford,USA,2001,2,52
2001.0,2241.0,Omar,Cook,Omar Cook,PG,71.5,5' 11.5'',79.0,,189.0,77.5,6' 5.5'',92.0,7' 8'',5.5,8.75,9.5,31.0,35.5,10.77,3.1,3.2,9.0,2241.0,2.0,3.0,31.0,1610612753.0,St. John's (NY),203479.5,,,,,,,
2001.0,2201.0,Eddy,Curry,Eddy Curry,C,82.5,6' 10.5'',79.0,,301.0,90.5,7' 6.5'',111.0,9' 3'',16.5,8.75,9.5,28.0,31.0,12.25,3.1,3.53,16.0,2201.0,1.0,4.0,4.0,1610612741.0,Thornwood,2201.0,Eddy Curry,1982-12-05 00:00:00,Thornwood HS (IL),USA,2001,1,4
2001.0,12037.0,Tate,Decker,Tate Decker,SF,81.25,6' 9.25'',79.0,,218.0,83.75,6' 11.75'',107.0,8' 11'',13.6,8.75,9.5,25.5,28.5,12.19,3.1,3.47,13.0,203469.5,1.0,15.0,27.0,1610612753.0,,203479.5,,,,,,,
2001.0,2205.0,DeSagana,Diop,DeSagana Diop,C,82.0,6' 10'',79.0,,314.0,90.5,7' 6.5'',113.0,9' 5'',21.0,8.75,9.5,21.5,25.5,12.37,3.1,3.56,15.0,2205.0,1.0,8.0,8.0,1610612739.0,Oak Hill Academy,203479.5,,,,,,,
2001.0,12038.0,Robb,Dryden,Robb Dryden,C,85.0,7' 1'',79.0,,241.0,86.5,7' 2.5'',110.2,9' 2.25'',8.0,8.75,9.5,27.0,30.0,12.47,3.1,3.46,8.0,203469.5,1.0,15.0,27.0,1610612753.0,,203479.5,,,,,,,
2001.0,12039.0,Anthony,Evans,Anthony Evans,PF,78.0,6' 6'',79.0,,267.0,83.5,6' 11.5'',101.5,8' 5.5'',12.9,8.75,9.5,31.5,33.0,12.56,3.1,3.31,18.0,203469.5,1.0,15.0,27.0,1610612753.0,,203479.5,,,,,,,
2001.0,2230.0,Maurice,Evans,Maurice Evans,SG,76.25,6' 4.25'',79.0,,221.0,80.0,6' 8'',101.0,8' 5'',4.0,8.75,9.5,34.5,37.5,10.08,3.1,3.12,22.0,203469.5,1.0,15.0,27.0,1610612753.0,,2230.0,Maurice Evans,1978-11-08 00:00:00,Texas,USA,Undrafted,Undrafted,Undrafted
2001.0,12150.0,Benjamin,Eze,Benjamin Eze,C-PF,80.75,6' 8.75'',79.0,,232.0,90.0,7' 6'',109.0,9' 1'',3.9,8.75,9.5,29.0,32.0,13.05,3.1,3.36,14.0,203469.5,1.0,15.0,27.0,1610612753.0,,203479.5,,,,,,,
2001.0,2386.0,Kimani,Ffriend,Kimani Ffriend,C-PF,81.5,6' 9.5'',79.0,,228.0,82.75,6' 10.75'',108.5,9' 0.5'',11.7,8.75,9.5,32.0,33.0,11.46,3.1,3.09,9.0,203469.5,1.0,15.0,27.0,1610612753.0,,203479.5,,,,,,,
2001.0,2228.0,Alton,Ford,Alton Ford,PF,80.25,6' 8.25'',79.0,,271.0,82.5,6' 10.5'',102.5,8' 6.5'',8.0,8.75,9.5,34.5,36.5,11.7,3.1,3.16,21.0,2228.0,2.0,22.0,50.0,1610612756.0,Houston,2228.0,Alton Ford,1981-05-29 00:00:00,Houston,USA,2001,2,50
2001.0,2218.0,Joseph,Forte,Joseph Forte,SG,75.5,6' 3.5'',79.0,,193.0,78.5,6' 6.5'',100.5,8' 4.5'',6.7,8.75,9.5,26.5,33.0,11.51,3.1,3.19,10.0,2218.0,1.0,21.0,21.0,1610612738.0,North Carolina,2218.0,Joseph Forte,1981-03-23 00:00:00,North Carolina,USA,2001,1,21
2001.0,-1.0,Jason,Gardner,Jason Gardner,PG,69.75,5' 9.75'',79.0,,188.0,73.25,6' 1.25'',92.5,7' 8.5'',8.0,8.75,9.5,34.5,40.0,10.88,3.1,2.92,9.0,203469.5,1.0,15.0,27.0,1610612753.0,,203479.5,,,,,,,
2001.0,12151.0,Jerry,Green,Jerry Green,PG-SG,73.5,6' 1.5'',79.0,,179.0,78.25,6' 6.25'',99.0,8' 3'',5.5,8.75,9.5,28.5,35.0,11.7,3.1,3.17,13.0,203469.5,1.0,15.0,27.0,1610612753.0,,203479.5,,,,,,,
2001.0,12152.0,Kenny,Gregory,Kenny Gregory,SF,75.5,6' 3.5'',79.0,,200.0,83.25,6' 11.25'',101.0,8' 5'',6.7,8.75,9.5,39.5,45.5,11.33,3.1,3.1,10.0,203469.5,1.0,15.0,27.0,1610612753.0,,203479.5,,,,,,,
2001.0,2204.0,Eddie,Griffin,Eddie Griffin,PF-SF,81.25,6' 9.25'',79.0,,222.0,87.0,7' 3'',110.0,9' 2'',4.0,8.75,9.5,26.5,33.0,11.77,3.1,3.21,3.0,2204.0,1.0,7.0,7.0,1610612751.0,Seton Hall,2204.0,Eddie Griffin,1982-05-30 00:00:00,Seton Hall,USA,2001,1,7
2001.0,2239.0,Trenton,Hassell,Trenton Hassell,SG-SF,76.25,6' 4.25'',79.0,,205.0,80.0,6' 8'',99.5,8' 3.5'',5.3,8.75,9.5,35.5,37.5,11.57,3.1,3.29,12.0,2239.0,2.0,1.0,29.0,1610612741.0,Austin Peay,203479.5,,,,,,,
2001.0,2213.0,Kirk,Haston,Kirk Haston,PF-SF,80.0,6' 8'',79.0,,242.0,84.25,7' 0.25'',106.0,8' 10'',10.5,8.75,9.5,27.0,31.5,12.25,3.1,3.35,11.0,2213.0,1.0,16.0,16.0,1610612766.0,Indiana,2213.0,Kirk Haston,1979-03-10 00:00:00,Indiana,USA,2001,1,16
2001.0,12153.0,Charles,Hathaway,Charles Hathaway,C,80.0,6' 8'',79.0,,274.0,86.0,7' 2'',107.5,8' 11.5'',6.7,8.75,9.5,29.0,34.5,11.32,3.1,3.27,10.0,203469.5,1.0,15.0,27.0,1610612753.0,,203479.5,,,,,,,
2001.0,2217.0,Brendan,Haywood,Brendan Haywood,C,83.75,6' 11.75'',79.0,,266.0,90.5,7' 6.5'',113.5,9' 5.5'',12.9,8.75,9.5,27.0,28.5,12.87,3.1,3.5,17.0,2217.0,1.0,20.0,20.0,1610612739.0,North Carolina,2217.0,Brendan Haywood,1979-11-27 00:00:00,North Carolina,USA,2001,1,20
2001.0,12154.0,Michael,Hicks,Michael Hicks,SG,76.0,6' 4'',79.0,,197.0,81.25,6' 9.25'',100.5,8' 4.5'',7.3,8.75,9.5,33.0,40.5,11.38,3.1,3.19,13.0,203469.5,1.0,15.0,27.0,1610612753.0,,203479.5,,,,,,,
2001.0,2212.0,Steven,Hunter,Steven Hunter,C-PF,82.25,6' 10.25'',79.0,,224.0,88.0,7' 4'',108.0,9' 0'',5.3,8.75,9.5,30.5,38.5,11.99,3.1,3.15,11.0,2212.0,1.0,15.0,15.0,1610612753.0,DePaul,2212.0,Steven Hunter,1981-10-31 00:00:00,DePaul,USA,2001,1,15
2001.0,12155.0,Andre,Hutson,Andre Hutson,PF,80.25,6' 8.25'',79.0,,244.0,83.75,6' 11.75'',105.5,8' 9.5'',11.7,8.75,9.5,29.0,32.5,11.25,3.1,3.3,17.0,203469.5,1.0,15.0,27.0,1610612753.0,,203479.5,,,,,,,
2001.0,12156.0,Nate,James,Nate James,SF,76.75,6' 4.75'',79.0,,196.0,82.75,6' 10.75'',103.0,8' 7'',6.0,8.75,9.5,26.0,31.0,11.42,3.1,3.31,23.0,203469.5,1.0,15.0,27.0,1610612753.0,,203479.5,,,,,,,
2001.0,2210.0,Richard,Jefferson,Richard Jefferson,SF,79.25,6' 7.25'',79.0,,223.0,84.0,7' 0'',103.0,8' 7'',6.7,8.75,9.5,33.0,38.5,11.19,3.1,3.15,14.0,2210.0,1.0,13.0,13.0,1610612745.0,Arizona,203479.5,,,,,,,
2001.0,2798.0,Horace,Jenkins,Horace Jenkins,PG,71.75,5' 11.75'',79.0,,171.0,77.25,6' 5.25'',97.0,8' 1'',6.0,8.75,9.5,34.5,41.0,10.97,3.1,3.1,2.0,203469.5,1.0,15.0,27.0,1610612753.0,,2798.0,Horace Jenkins,1974-10-14 00:00:00,William Paterson,USA,Undrafted,Undrafted,Undrafted
2001.0,12157.0,Darrell,Johns,Darrell Johns,C,83.25,6' 11.25'',79.0,,278.0,89.0,7' 5'',111.5,9' 3.5'',19.1,8.75,9.5,23.5,30.0,12.41,3.1,3.59,18.0,203469.5,1.0,15.0,27.0,1610612753.0,,203479.5,,,,,,,
2001.0,2256.0,Ken,Johnson,Ken Johnson,C,82.75,6' 10.75'',79.0,,227.0,88.0,7' 4'',109.5,9' 1.5'',9.9,8.75,9.5,32.5,35.0,11.27,3.1,3.12,13.0,2256.0,2.0,20.0,48.0,1610612748.0,Ohio State,203479.5,,,,,,,
2001.0,2207.0,Joe,Johnson,Joe Johnson,SF-SG,78.75,6' 6.75'',79.0,,226.0,81.0,6' 9'',105.0,8' 9'',6.7,8.75,9.5,32.5,36.5,12.05,3.1,3.4,12.0,2207.0,1.0,10.0,10.0,1610612738.0,Arkansas,2207.0,Joe Johnson,1981-06-29 00:00:00,Arkansas,USA,2001,1,10
2001.0,12158.0,Darren,Kelly,Darren Kelly,SG-PG,74.0,6' 2'',79.0,,178.0,78.75,6' 6.75'',100.0,8' 4'',6.7,8.75,9.5,30.5,34.5,11.38,3.1,3.21,1.0,203469.5,1.0,15.0,27.0,1610612753.0,,203479.5,,,,,,,
2001.0,2253.0,Sean,Lampley,Sean Lampley,SF,77.5,6' 5.5'',79.0,,213.0,81.25,6' 9.25'',101.0,8' 5'',8.0,8.75,9.5,36.0,40.0,11.06,3.1,3.12,12.0,2253.0,2.0,16.0,44.0,1610612741.0,California,2253.0,Sean Lampley,1979-09-03 00:00:00,California,USA,2001,2,44
2001.0,12159.0,Zach,Marbury,Zach Marbury,PG-SG,73.25,6' 1.25'',79.0,,183.0,75.5,6' 3.5'',96.5,8' 0.5'',6.7,8.75,9.5,33.0,36.5,11.53,3.1,3.1,0.0,203469.5,1.0,15.0,27.0,1610612753.0,,203479.5,,,,,,,
2001.0,12160.0,Mike,Mardesich,Mike Mardesich,C-PF,82.25,6' 10.25'',79.0,,247.0,84.5,7' 0.5'',108.5,9' 0.5'',13.6,8.75,9.5,24.0,30.0,11.65,3.1,3.45,8.0,203469.5,1.0,15.0,27.0,1610612753.0,,203479.5,,,,,,,
2001.0,12161.0,DeMarcus,Minor,DeMarcus Minor,SG,75.25,6' 3.25'',79.0,,207.0,80.25,6' 8.25'',99.5,8' 3.5'',6.7,8.75,9.5,29.0,41.0,10.57,3.1,3.15,9.0,203469.5,1.0,15.0,27.0,1610612753.0,,203479.5,,,,,,,
2001.0,200081.0,Jamario,Moon,Jamario Moon,SF,78.5,6' 6.5'',79.0,,185.0,83.5,6' 11.5'',103.0,8' 7'',5.3,8.75,9.5,33.0,43.0,11.64,3.1,3.08,0.0,203469.5,1.0,15.0,27.0,1610612753.0,,200081.0,Jamario Moon,1980-06-13 00:00:00,Meridian CC,USA,Undrafted,Undrafted,Undrafted
2001.0,2211.0,Troy,Murphy,Troy Murphy,PF,81.75,6' 9.75'',79.0,,230.0,83.0,6' 11'',105.5,8' 9.5'',11.7,8.75,9.5,28.5,34.5,11.22,3.1,3.43,11.0,2211.0,1.0,14.0,14.0,1610612744.0,Notre Dame,2211.0,Troy Murphy,1980-05-02 00:00:00,Notre Dame,USA,2001,1,14
2001.0,12162.0,Troy,Ostler,Troy Ostler,PF-SF,80.75,6' 8.75'',79.0,,200.0,85.5,7' 1.5'',106.5,8' 10.5'',8.0,8.75,9.5,26.5,29.5,13.42,3.1,3.5,2.0,203469.5,1.0,15.0,27.0,1610612753.0,,203479.5,,,,,,,
2001.0,40046.0,Lazaros,Papadopoulos,Lazaros Papadopoulos,C-PF,82.25,6' 10.25'',79.0,,227.0,86.5,7' 2.5'',110.5,9' 2.5'',11.7,8.75,9.5,23.0,26.0,12.0,3.1,3.7,4.0,203469.5,1.0,15.0,27.0,1610612753.0,,203479.5,,,,,,,
2001.0,12164.0,Rashad,Phillips,Rashad Phillips,PG,69.0,5' 9'',79.0,,166.0,73.5,6' 1.5'',92.0,7' 8'',12.4,8.75,9.5,27.0,32.0,11.93,3.1,3.27,5.0,203469.5,1.0,15.0,27.0,1610612753.0,,203479.5,,,,,,,
2001.0,12165.0,Demetrius,Porter,Demetrius Porter,PG,70.75,5' 10.75'',79.0,,178.0,74.75,6' 2.75'',94.0,7' 10'',12.4,8.75,9.5,26.0,31.0,11.5,3.1,3.34,5.0,203469.5,1.0,15.0,27.0,1610612753.0,,203479.5,,,,,,,
2001.0,12166.0,Martin,Rancik,Martin Rancik,PF-SF,80.75,6' 8.75'',79.0,,230.0,80.0,6' 8'',102.5,8' 6.5'',8.0,8.75,9.5,32.0,37.0,10.77,3.1,3.19,14.0,203469.5,1.0,15.0,27.0,1610612753.0,,203479.5,,,,,,,
2001.0,2202.0,Jason,Richardson,Jason Richardson,SF-SG,76.75,6' 4.75'',79.0,,213.0,83.5,6' 11.5'',102.5,8' 6.5'',5.3,8.75,9.5,32.5,39.5,11.75,3.1,3.12,15.0,2202.0,1.0,5.0,5.0,1610612744.0,Michigan State,2202.0,Jason Richardson,1981-01-20 00:00:00,Michigan State,USA,2001,1,5
2001.0,2369.0,Norman,Richardson,Norman Richardson,SG,75.5,6' 3.5'',79.0,,180.0,76.5,6' 4.5'',99.0,8' 3'',6.0,8.75,9.5,30.5,35.5,10.97,3.1,3.15,2.0,203469.5,1.0,15.0,27.0,1610612753.0,,203479.5,,,,,,,
2001.0,2219.0,Jeryl,Sasser,Jeryl Sasser,PG-SG,77.5,6' 5.5'',79.0,,194.0,82.5,6' 10.5'',103.5,8' 7.5'',6.7,8.75,9.5,29.0,34.0,11.47,3.1,3.22,1.0,2219.0,1.0,22.0,22.0,1610612753.0,Southern Methodist,2219.0,Jeryl Sasser,1979-02-13 00:00:00,Southern Methodist,USA,2001,1,22
2001.0,12167.0,Kenny,Satterfield,Kenny Satterfield,PG,73.0,6' 1'',79.0,,176.0,76.5,6' 4.5'',98.0,8' 2'',6.7,8.75,9.5,28.5,33.0,12.05,3.1,3.2,3.0,203469.5,1.0,15.0,27.0,1610612753.0,,203479.5,,,,,,,
2001.0,2243.0,Brian,Scalabrine,Brian Scalabrine,PF-SF,80.75,6' 8.75'',79.0,,241.0,81.75,6' 9.75'',105.5,8' 9.5'',13.6,8.75,9.5,27.0,30.5,11.75,3.1,3.47,14.0,2243.0,2.0,6.0,34.0,1610612751.0,Southern California,2243.0,Brian Scalabrine,1978-03-18 00:00:00,Southern California,USA,2001,2,34
2001.0,12168.0,Lee,Scruggs,Lee Scruggs,PF-SF,82.25,6' 10.25'',79.0,,209.0,89.75,7' 5.75'',110.5,9' 2.5'',10.5,8.75,9.5,23.5,29.5,13.28,3.1,3.55,0.0,203469.5,1.0,15.0,27.0,1610612753.0,,203479.5,,,,,,,
2001.0,2250.0,Bobby,Simmons,Bobby Simmons,SF,78.25,6' 6.25'',79.0,,235.0,84.25,7' 0.25'',105.0,8' 9'',6.7,8.75,9.5,27.5,34.0,11.69,3.1,3.41,12.0,2250.0,2.0,13.0,41.0,1610612760.0,DePaul,2250.0,Bobby Simmons,1980-06-02 00:00:00,DePaul,USA,2001,2,41
2001.0,2226.0,Will,Solomon,Will Solomon,PG-SG,71.75,5' 11.75'',79.0,,172.0,81.5,6' 9.5'',99.5,8' 3.5'',4.0,8.75,9.5,28.5,35.0,11.3,3.1,3.22,4.0,2226.0,2.0,4.0,32.0,1610612763.0,Clemson,2226.0,Will Solomon,1978-07-20 00:00:00,Clemson,USA,2001,2,32
2001.0,12169.0,Greg,Stevenson,Greg Stevenson,SF,75.75,6' 3.75'',79.0,,215.0,84.5,7' 0.5'',102.0,8' 6'',7.3,8.75,9.5,30.0,35.5,11.29,3.1,3.23,15.0,203469.5,1.0,15.0,27.0,1610612753.0,,203479.5,,,,,,,
2001.0,12170.0,Damone,Thornton,Damone Thornton,PF,78.75,6' 6.75'',79.0,,235.0,85.75,7' 1.75'',103.7,8' 7.75'',8.0,8.75,9.5,33.5,37.5,11.17,3.1,3.2,19.0,203469.5,1.0,15.0,27.0,1610612753.0,,203479.5,,,,,,,
2001.0,2224.0,Jamaal,Tinsley,Jamaal Tinsley,PG,72.75,6' 0.75'',79.0,,199.0,79.5,6' 7.5'',97.5,8' 1.5'',13.6,8.75,9.5,28.0,37.5,11.96,3.1,3.2,1.0,2224.0,1.0,27.0,27.0,1610612763.0,Iowa State,2224.0,Jamaal Tinsley,1978-02-28 00:00:00,Iowa State,USA,2001,1,27
2001.0,12171.0,Tory,Walker,Tory Walker,SF,78.75,6' 6.75'',79.0,,187.0,83.25,6' 11.25'',104.5,8' 8.5'',6.7,8.75,9.5,28.0,33.0,11.95,3.1,3.25,7.0,203469.5,1.0,15.0,27.0,1610612753.0,,203479.5,,,,,,,
2001.0,12172.0,Souleymane,Wane,Souleymane Wane,C,80.5,6' 8.5'',79.0,,235.0,89.0,7' 5'',109.0,9' 1'',11.2,8.75,9.5,29.0,30.5,12.02,3.1,3.46,9.0,203469.5,1.0,15.0,27.0,1610612753.0,,203479.5,,,,,,,
2001.0,2248.0,Earl,Watson,Earl Watson,PG,72.0,6' 0'',79.0,,184.0,78.75,6' 6.75'',97.0,8' 1'',4.0,8.75,9.5,32.5,37.5,10.97,3.1,3.19,4.0,2248.0,2.0,11.0,39.0,1610612760.0,California-Los Angeles,2248.0,Earl Watson,1979-06-12 00:00:00,UCLA,USA,2001,2,39
2001.0,2206.0,Rodney,White,Rodney White,SF,79.5,6' 7.5'',79.0,,243.0,83.5,6' 11.5'',104.5,8' 8.5'',9.3,8.75,9.5,27.5,33.0,12.07,3.1,3.47,16.0,2206.0,1.0,9.0,9.0,1610612765.0,North Carolina-Charlotte,2206.0,Rodney White,1980-06-28 00:00:00,North Carolina-Charlotte,USA,2001,1,9
2001.0,2254.0,Loren,Woods,Loren Woods,C-PF,84.75,7' 0.75'',79.0,,246.0,89.5,7' 5.5'',113.0,9' 5'',9.3,8.75,9.5,24.5,28.0,11.83,3.1,3.48,10.0,2254.0,2.0,17.0,45.0,1610612750.0,Arizona,2254.0,Loren Woods,1978-06-21 00:00:00,Arizona,USA,2001,2,45
2001.0,12041.0,Michael,Wright,Michael Wright,PF,79.0,6' 7'',79.0,,247.0,83.5,6' 11.5'',106.5,8' 10.5'',9.3,8.75,9.5,27.5,33.5,11.37,3.1,3.21,18.0,203469.5,1.0,15.0,27.0,1610612753.0,,203479.5,,,,,,,
2001.0,12040.0,Brent,Wright,Brent Wright,PF-SF,79.75,6' 7.75'',79.0,,236.0,85.5,7' 1.5'',105.5,8' 9.5'',12.4,8.75,9.5,23.0,29.0,12.25,3.1,3.3,19.0,203469.5,1.0,15.0,27.0,1610612753.0,,203479.5,,,,,,,
2004.0,2754.0,Tony,Allen,Tony Allen,SG,75.5,6' 3.5'',76.25,6' 4.25'',214.0,81.0,6' 9'',102.0,8' 6'',6.7,8.75,9.5,31.5,36.5,10.7,3.1,3.19,17.0,2754.0,1.0,25.0,25.0,1610612738.0,Oklahoma State,2754.0,Tony Allen,1982-01-11 00:00:00,Oklahoma State,USA,2004,1,25
2004.0,2772.0,Trevor,Ariza,Trevor Ariza,SG-SF,79.0,6' 7'',80.25,6' 8.25'',201.0,86.0,7' 2'',107.5,8' 11.5'',8.0,8.75,9.5,29.5,32.0,11.63,3.1,3.29,8.0,2772.0,2.0,14.0,43.0,1610612752.0,California-Los Angeles,2772.0,Trevor Ariza,1985-06-30 00:00:00,UCLA,USA,2004,2,43
2004.0,2857.0,Andre,Barrett,Andre Barrett,PG,68.75,5' 8.75'',69.75,5' 9.75'',171.0,73.0,6' 1'',92.0,7' 8'',6.7,8.75,9.5,29.0,34.5,10.63,3.1,3.08,13.0,203469.5,1.0,15.0,27.0,1610612753.0,,203479.5,,,,,,,
2004.0,101138.0,Brandon,Bass,Brandon Bass,PF,78.25,6' 6.25'',79.25,6' 7.25'',246.0,86.5,7' 2.5'',106.5,8' 10.5'',9.3,8.75,9.5,31.5,33.0,11.61,3.1,3.24,18.0,101138.0,2.0,3.0,33.0,1610612740.0,Louisiana State,101138.0,Brandon Bass,1985-04-30 00:00:00,Louisiana State,USA,2005,2,33
