season,player_id,first_name,last_name,player_name,position,height_wo_shoes,height_wo_shoes_ft_in,height_w_shoes,height_w_shoes_ft_in,weight,wingspan,wingspan_ft_in,standing_reach,standing_reach_ft_in,body_fat_pct,hand_length,hand_width,standing_vertical_leap,max_vertical_leap,lane_agility_time,modified_lane_agility_time,three_quarter_sprint,bench_press,spot_fifteen_corner_left,spot_fifteen_break_left,spot_fifteen_top_key,spot_fifteen_break_right,spot_fifteen_corner_right,spot_college_corner_left,spot_college_break_left,spot_college_top_key,spot_college_break_right,spot_college_corner_right,spot_nba_corner_left,spot_nba_break_left,spot_nba_top_key,spot_nba_break_right,spot_nba_corner_right,off_drib_fifteen_break_left,off_drib_fifteen_top_key,off_drib_fifteen_break_right,off_drib_college_break_left,off_drib_college_top_key,off_drib_college_break_right,on_move_fifteen,on_move_college,person_id,round_number,round_pick,overall_pick,team_id,organization,person_id_player,display_first_last,birthdate,school,country,draft_year,draft_round,draft_number
2000,12135,Ceedric,Goodwyn,Ceedric Goodwyn,SF-PF,78.0,6' 6'',,,238,82.0,6' 10'',104.5,8' 8.5'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,12136,Marcus,Goree,Marcus Goree,SF-PF,79.5,6' 7.5'',,,239,84.5,7' 0.5'',105.5,8' 9.5'',,,,29.5,33.5,12.0,,3.25,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,12137,A.J.,Granger,A.J. Granger,SF,79.5,6' 7.5'',,,227,81.5,6' 9.5'',103.0,8' 7'',,,,30.0,34.0,10.73,,3.25,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,2062,A.J.,Guyton,A.J. Guyton,PG-SG,72.75,6' 0.75'',,,175,75.75,6' 3.75'',97.5,8' 1.5'',,,,33.0,37.5,10.55,,3.22,9.0,,,,,,,,,,,,,,,,,,,,,,,,2062,2.0,3.0,32.0,1610612741,Indiana,,,,,,,,
2000,2110,Ron,Hale,Ron Hale,SG-SF,79.5,6' 7.5'',,,202,83.0,6' 11'',104.5,8' 8.5'',,,,29.5,34.5,12.58,,3.2,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,2078,Jason,Hart,Jason Hart,PG,73.75,6' 1.75'',,,181,78.0,6' 6'',97.5,8' 1.5'',,,,29.5,33.5,11.7,,3.34,9.0,,,,,,,,,,,,,,,,,,,,,,,,2078,2.0,20.0,49.0,1610612749,Syracuse,,,,,,,,
2000,2051,Donnell,Harvey,Donnell Harvey,PF,79.25,6' 7.25'',,,220,84.5,7' 0.5'',105.5,8' 9.5'',,,,33.0,32.5,11.23,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,2051,1.0,22.0,22.0,1610612752,Florida,,,,,,,,
2000,12138,Johnny,Hemsley,Johnny Hemsley,SG-SF,74.75,6' 2.75'',,,200,80.0,6' 8'',100.5,8' 4.5'',,,,31.5,35.0,11.5,,3.19,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,12139,Michael,Hermon,Michael Hermon,SG-PG,74.75,6' 2.75'',,,195,78.25,6' 6.25'',98.5,8' 2.5'',,,,29.0,33.0,11.79,,3.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,2083,Cory,Hightower,Cory Hightower,SG-SF,77.5,6' 5.5'',,,183,83.0,6' 11'',101.5,8' 5.5'',,,,29.5,34.5,11.92,,3.37,0.0,,,,,,,,,,,,,,,,,,,,,,,,2083,2.0,25.0,54.0,1610612759,Indian Hills Community College,,,,,,,,
2000,12140,Shaheen,Holloway,Shaheen Holloway,PG,69.5,5' 9.5'',,,174,70.0,5' 10'',91.0,7' 7'',,,,,,11.22,,3.32,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,2067,Eddie,House,Eddie House,SG-PG,71.75,5' 11.75'',,,176.5,75.5,6' 3.5'',95.0,7' 11'',,,,29.5,38.5,11.12,,3.27,5.0,,,,,,,,,,,,,,,,,,,,,,,,2067,2.0,8.0,37.0,1610612748,Arizona State,2067,Eddie House,1978-05-14 00:00:00,Arizona State,USA,2000,2,37
2000,2111,Jimmie,Hunter,Jimmie Hunter,SG-PG,75.0,6' 3'',,,170,80.0,6' 8'',100.0,8' 4'',,,,29.0,36.0,11.23,,3.35,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,12141,Jacob,Jaacks,Jacob Jaacks,PF,81.25,6' 9.25'',,,238,83.0,6' 11'',105.5,8' 9.5'',,,,26.0,32.0,11.48,,3.58,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,2060,Marko,Jaric,Marko Jaric,SG-SF,78.5,6' 6.5'',,,210,81.0,6' 9'',104.0,8' 8'',,,,27.5,33.0,11.32,,3.28,,,,,,,,,,,,,,,,,,,,,,,,,2060,2.0,1.0,30.0,1610612746,Fortitudo Pallacanestro Bologna (Italy),,,,,,,,
2000,12142,Nate,Johnson,Nate Johnson,SF,78.5,6' 6.5'',,,211.5,80.5,6' 8.5'',104.0,8' 8'',,,,27.0,33.5,11.9,,3.33,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,12143,Kenyon,Jones,Kenyon Jones,PF-C,81.0,6' 9'',,,282,85.0,7' 1'',108.0,9' 0'',,,,28.5,30.0,12.44,,3.6,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,2077,Mark,Karcher,Mark Karcher,SG,76.0,6' 4'',,,218,80.0,6' 8'',102.5,8' 6.5'',,,,27.5,30.5,11.51,,3.4,12.0,,,,,,,,,,,,,,,,,,,,,,,,2077,2.0,19.0,48.0,1610612755,Temple,,,,,,,,
2000,12144,Brandon,Kurtz,Brandon Kurtz,PF-C,81.5,6' 9.5'',,,257,83.25,6' 11.25'',106.5,8' 10.5'',,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,2061,Dan,Langhi,Dan Langhi,SF,81.0,6' 9'',,,197.5,80.0,6' 8'',104.0,8' 8'',,,,31.0,34.5,10.85,,3.24,12.0,,,,,,,,,,,,,,,,,,,,,,,,2061,2.0,2.0,31.0,1610612742,Vanderbilt,,,,,,,,
2000,2090,Justin,Love,Justin Love,PG-SG,73.5,6' 1.5'',,,205.5,76.5,6' 4.5'',97.5,8' 1.5'',,,,31.0,38.5,10.99,,3.31,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,2058,Mark,Madsen,Mark Madsen,PF,80.0,6' 8'',,,236.5,84.5,7' 0.5'',104.5,8' 8.5'',,,,30.5,33.5,12.12,,3.46,13.0,,,,,,,,,,,,,,,,,,,,,,,,2058,1.0,29.0,29.0,1610612747,Stanford,2058,Mark Madsen,1976-01-28 00:00:00,Stanford,USA,2000,1,29
2000,2082,Dan,McClintock,Dan McClintock,C-PF,83.0,6' 11'',,,250,85.5,7' 1.5'',107.0,8' 11'',,,,33.0,35.0,11.52,,3.33,20.0,,,,,,,,,,,,,,,,,,,,,,,,2082,2.0,24.0,53.0,1610612743,Northern Arizona,2082,Dan McClintock,1977-04-19 00:00:00,Northern Arizona,USA,2000,2,53
2000,2087,Pete,Mickeal,Pete Mickeal,SG-SF,77.0,6' 5'',,,222,81.5,6' 9.5'',103.5,8' 7.5'',,,,28.0,34.5,10.83,,3.06,8.0,,,,,,,,,,,,,,,,,,,,,,,,2087,2.0,29.0,58.0,1610612742,Cincinnati,,,,,,,,
2000,12145,Brian,Montonati,Brian Montonati,PF,80.75,6' 8.75'',,,215,82.5,6' 10.5'',106.0,8' 10'',,,,25.0,29.0,11.85,,3.53,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,2508,Gabe,Muoneke,Gabe Muoneke,PF-SF,78.25,6' 6.25'',,,244,84.5,7' 0.5'',105.0,8' 9'',,,,30.5,34.0,11.0,,3.4,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,12146,Ndongo,N'diaye,Ndongo N'diaye,C,83.5,6' 11.5'',,,208,87.5,7' 3.5'',112.5,9' 4.5'',,,,24.5,27.5,13.16,,3.69,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,2059,Eduardo,Najera,Eduardo Najera,PF-SF,78.5,6' 6.5'',,,234.5,83.5,6' 11.5'',104.5,8' 8.5'',,,,28.0,35.0,11.38,,3.45,15.0,,,,,,,,,,,,,,,,,,,,,,,,2059,2.0,9.0,38.0,1610612745,Oklahoma,,,,,,,,
2000,12147,Matthew,Nielsen,Matthew Nielsen,PF,81.0,6' 9'',,,223,82.5,6' 10.5'',106.0,8' 10'',,,,26.0,29.0,11.28,,3.35,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,2084,Chris,Porter,Chris Porter,SF-PF,77.5,6' 5.5'',,,214,81.5,6' 9.5'',103.5,8' 7.5'',,,,28.5,35.0,10.93,,3.2,6.0,,,,,,,,,,,,,,,,,,,,,,,,2084,2.0,26.0,55.0,1610612744,Auburn,2084,Chris Porter,1978-05-09 00:00:00,Auburn,USA,2000,2,55
2000,2068,Lavor,Postell,Lavor Postell,SG,76.5,6' 4.5'',,,205,80.5,6' 8.5'',101.5,8' 5.5'',,,,33.5,36.5,11.79,,3.3,17.0,,,,,,,,,,,,,,,,,,,,,,,,2068,2.0,10.0,39.0,1610612752,St. John's (NY),2068,Lavor Postell,1978-02-26 00:00:00,St. John's (NY),USA,2000,2,39
2000,2080,Igor,Rakocevic,Igor Rakocevic,PG,74.5,6' 2.5'',,,184,77.25,6' 5.25'',100.0,8' 4'',,,,27.5,34.0,10.4,,3.1,9.0,,,,,,,,,,,,,,,,,,,,,,,,2080,2.0,22.0,51.0,1610612750,Red Star Belgrade (Serbia),2080,Igor Rakocevic,1978-03-29 00:00:00,Buducnost,Serbia,2000,2,51
2000,12148,Reed,Rawlings,Reed Rawlings,SG-SF,78.25,6' 6.25'',,,218,81.25,6' 9.25'',104.0,8' 8'',,,,28.5,33.5,11.1,,3.27,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,2072,Michael,Redd,Michael Redd,SG-SF,76.75,6' 4.75'',,,214,81.0,6' 9'',102.0,8' 6'',,,,27.0,31.0,12.06,,3.34,12.0,,,,,,,,,,,,,,,,,,,,,,,,2072,2.0,14.0,43.0,1610612749,Ohio State,2072,Michael Redd,1979-08-24 00:00:00,Ohio State,USA,2000,2,43
2000,12149,Damon,Reed,Damon Reed,PF-C,80.5,6' 8.5'',,,228,81.5,6' 9.5'',104.5,8' 8.5'',,,,27.5,31.5,11.21,,3.31,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,12021,Aubrey,Reese,Aubrey Reese,PG,70.75,5' 10.75'',,,189,77.5,6' 5.5'',94.5,7' 10.5'',,,,31.5,37.5,11.13,,3.25,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,2121,Terrance,Roberson,Terrance Roberson,SF,77.5,6' 5.5'',,,209,80.0,6' 8'',103.5,8' 7.5'',,,,29.0,32.5,11.66,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2121,Terrance Roberson,1976-12-30 00:00:00,Fresno State,USA,Undrafted,Undrafted,Undrafted
2000,12022,Julius Doc,Robinson,Julius Doc Robinson,PG,72.0,6' 0'',,,184,75.75,6' 3.75'',95.5,7' 11.5'',,,,30.0,37.5,12.54,,3.41,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,12023,Pepe,Sanchez,Pepe Sanchez,PG,75.0,6' 3'',,,194,75.5,6' 3.5'',96.0,8' 0'',,,,26.0,31.0,11.62,,3.44,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,12024,Matt,Santangelo,Matt Santangelo,PG,72.0,6' 0'',,,177,75.0,6' 3'',94.0,7' 10'',,,,33.5,43.0,10.66,,3.06,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,2637,Alex,Scales,Alex Scales,SG-PG,74.25,6' 2.25'',,,184.5,81.0,6' 9'',97.5,8' 1.5'',,,,38.5,42.5,10.98,,3.21,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2637,Alex Scales,1978-07-03 00:00:00,Oregon,USA,Undrafted,Undrafted,Undrafted
2000,12025,Karim,Shabazz,Karim Shabazz,C,83.5,6' 11.5'',,,224,87.0,7' 3'',111.5,9' 3.5'',,,,24.5,28.0,12.72,,3.36,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,12026,Nick,Sheppard,Nick Sheppard,PF-C,81.5,6' 9.5'',,,273,83.0,6' 11'',107.5,8' 11.5'',,,,23.5,25.5,12.14,,3.52,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,2065,Mike,Smith,Mike Smith,SF,78.5,6' 6.5'',,,198,80.5,6' 8.5'',103.0,8' 7'',,,,33.0,21.0,11.32,,3.22,12.0,,,,,,,,,,,,,,,,,,,,,,,,2065,2.0,6.0,35.0,1610612764,Louisiana-Monroe,2065,Mike Smith,1976-04-15 00:00:00,Louisiana-Monroe,USA,2000,2,35
2000,2074,Jabari,Smith,Jabari Smith,PF-C,81.75,6' 9.75'',,,240.5,86.5,7' 2.5'',109.5,9' 1.5'',,,,24.5,30.0,12.45,,3.43,15.0,,,,,,,,,,,,,,,,,,,,,,,,2074,2.0,16.0,45.0,1610612758,Louisiana State,2074,Jabari Smith,1977-02-12 00:00:00,Louisiana State,USA,2000,2,45
2000,12027,Jarrett,Stephens,Jarrett Stephens,PF,77.25,6' 5.25'',,,258,81.25,6' 9.25'',103.0,8' 7'',,,,27.0,29.0,11.98,,3.46,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,12028,Bootsy,Thornton,Bootsy Thornton,SG,75.5,6' 3.5'',,,194.5,78.5,6' 6.5'',101.5,8' 5.5'',,,,26.5,31.0,12.08,,3.33,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,12029,Jaquay,Walls,Jaquay Walls,PG,73.25,6' 1.25'',,,165.5,74.5,6' 2.5'',96.5,8' 0.5'',,,,28.5,35.5,10.75,,3.23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,12030,Jameel,Watkins,Jameel Watkins,PF-C,81.5,6' 9.5'',,,244.5,90.0,7' 6'',110.0,9' 2'',,,,28.0,30.5,12.38,,3.45,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,12033,Adam,Allenspach,Adam Allenspach,C,83.5,6' 11.5'',,,259,84.5,7' 0.5'',107.0,8' 11'',12.4,,,28.5,31.0,11.9,,3.4,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,2240,Gilbert,Arenas,Gilbert Arenas,SG,74.25,6' 2.25'',,,199,81.5,6' 9.5'',99.5,8' 3.5'',5.3,,,31.5,36.0,,,3.25,12.0,,,,,,,,,,,,,,,,,,,,,,,,2240,2.0,2.0,30.0,1610612744,Arizona,2240,Gilbert Arenas,1982-01-06 00:00:00,Arizona,USA,2001,2,30
2001,2220,Brandon,Armstrong,Brandon Armstrong,SG,75.5,6' 3.5'',,,188,81.5,6' 9.5'',99.5,8' 3.5'',9.3,,,30.0,37.0,10.91,,3.2,6.0,,,,,,,,,,,,,,,,,,,,,,,,2220,1.0,23.0,23.0,1610612745,Pepperdine,2220,Brandon Armstrong,1980-06-16 00:00:00,Pepperdine,USA,2001,1,23
2001,2203,Shane,Battier,Shane Battier,SF-PF,80.25,6' 8.25'',,,229,82.5,6' 10.5'',105.0,8' 9'',9.3,,,29.5,33.0,10.95,,3.3,12.0,,,,,,,,,,,,,,,,,,,,,,,,2203,1.0,6.0,6.0,1610612763,Duke,,,,,,,,
2001,12034,Cookie,Belcher,Cookie Belcher,SG-PG,75.0,6' 3'',,,206,80.5,6' 8.5'',99.0,8' 3'',5.3,,,35.0,41.5,11.26,,2.91,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,2294,Charlie,Bell,Charlie Bell,PG,74.5,6' 2.5'',,,200,79.5,6' 7.5'',97.5,8' 1.5'',6.7,,,31.5,38.0,10.59,,3.12,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,2257,Ruben,Boumtje-Boumtje,Ruben Boumtje-Boumtje,C,83.5,6' 11.5'',,,245,88.0,7' 4'',111.0,9' 3'',6.0,,,26.5,31.0,11.84,,3.33,6.0,,,,,,,,,,,,,,,,,,,,,,,,2257,2.0,21.0,49.0,1610612757,Georgetown,2257,Ruben Boumtje-Boumtje,1978-05-20 00:00:00,Georgetown,USA,2001,2,49
2001,12035,Calvin,Bowman,Calvin Bowman,PF,80.75,6' 8.75'',,,214,83.5,6' 11.5'',104.0,8' 8'',8.6,,,28.5,34.5,11.96,,3.21,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,2214,Michael,Bradley,Michael Bradley,PF,81.5,6' 9.5'',,,227,85.5,7' 1.5'',107.0,8' 11'',9.3,,,27.0,30.0,11.11,,3.35,13.0,,,,,,,,,,,,,,,,,,,,,,,,2214,1.0,17.0,17.0,1610612761,Villanova,2214,Michael Bradley,1979-04-18 00:00:00,Villanova,USA,2001,1,17
2001,2249,Jamison,Brewer,Jamison Brewer,PG,74.5,6' 2.5'',,,178,80.75,6' 8.75'',102.5,8' 6.5'',6.7,,,26.0,32.5,9.65,,3.15,12.0,,,,,,,,,,,,,,,,,,,,,,,,2249,2.0,12.0,40.0,1610612754,Auburn,,,,,,,,
2001,2198,Kwame,Brown,Kwame Brown,PF-C,82.0,6' 10'',,,243,85.0,7' 1'',108.0,9' 0'',8.9,,,30.0,33.0,11.59,,3.45,17.0,,,,,,,,,,,,,,,,,,,,,,,,2198,1.0,1.0,1.0,1610612764,Glynn Academy,2198,Kwame Brown,1982-03-10 00:00:00,Glynn Academy HS (GA),USA,2001,1,1
2001,12031,SirValiant,Brown,SirValiant Brown,PG,71.0,5' 11'',,,176,76.0,6' 4'',92.5,7' 8.5'',6.7,,,31.0,39.5,11.23,,3.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,2245,Damone,Brown,Damone Brown,SF,80.25,6' 8.25'',,,202,83.75,6' 11.75'',104.5,8' 8.5'',6.7,,,32.0,37.0,11.81,,3.27,6.0,,,,,,,,,,,,,,,,,,,,,,,,2245,2.0,8.0,36.0,1610612755,Syracuse,,,,,,,,
2001,12032,Ryan,Carroll,Ryan Carroll,SF-SG,76.0,6' 4'',,,202,80.25,6' 8.25'',99.0,8' 3'',8.0,,,34.5,39.0,11.0,,3.1,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,2199,Tyson,Chandler,Tyson Chandler,SF-PF,83.5,6' 11.5'',,,224,87.0,7' 3'',110.0,9' 2'',6.7,,,31.0,33.5,12.13,,3.36,2.0,,,,,,,,,,,,,,,,,,,,,,,,2199,1.0,2.0,2.0,1610612746,Dominguez,2199,Tyson Chandler,1982-10-02 00:00:00,Dominguez HS (CA),USA,2001,1,2
2001,2251,Eric,Chenowith,Eric Chenowith,C,85.0,7' 1'',,,264,88.0,7' 4'',111.0,9' 3'',12.9,,,23.5,27.5,12.5,,3.59,6.0,,,,,,,,,,,,,,,,,,,,,,,,2251,2.0,14.0,42.0,1610612752,Kansas,,,,,,,,
2001,2439,Sam,Clancy,Sam Clancy,PF,78.25,6' 6.25'',,,242,86.75,7' 2.75'',107.0,8' 11'',8.0,,,31.0,34.0,11.47,,3.13,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,12036,Gyasi,Cline-Heard,Gyasi Cline-Heard,PF,78.25,6' 6.25'',,,231,83.5,6' 11.5'',103.0,8' 7'',8.0,,,31.5,34.5,11.4,,3.23,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,2215,Jason,Collins,Jason Collins,PF-C,82.25,6' 10.25'',,,251,88.5,7' 4.5'',110.0,9' 2'',12.9,,,25.5,28.5,12.1,,3.54,8.0,,,,,,,,,,,,,,,,,,,,,,,,2215,1.0,18.0,18.0,1610612745,Stanford,2215,Jason Collins,1978-12-02 00:00:00,Stanford,USA,2001,1,18
2001,2260,Jarron,Collins,Jarron Collins,C-PF,81.25,6' 9.25'',,,252,87.0,7' 3'',104.0,8' 8'',15.2,,,23.0,29.0,11.65,,3.6,10.0,,,,,,,,,,,,,,,,,,,,,,,,2260,2.0,24.0,52.0,1610612762,Stanford,,,,,,,,
2001,2241,Omar,Cook,Omar Cook,PG,71.5,5' 11.5'',,,189,77.5,6' 5.5'',92.0,7' 8'',5.5,,,31.0,35.5,10.77,,3.2,9.0,,,,,,,,,,,,,,,,,,,,,,,,2241,2.0,3.0,31.0,1610612753,St. John's (NY),2241,Omar Cook,1982-01-28 00:00:00,St. John's (NY),USA,2001,2,31
2001,2201,Eddy,Curry,Eddy Curry,C,82.5,6' 10.5'',,,301,90.5,7' 6.5'',111.0,9' 3'',16.5,,,28.0,31.0,12.25,,3.53,16.0,,,,,,,,,,,,,,,,,,,,,,,,2201,1.0,4.0,4.0,1610612741,Thornwood,,,,,,,,
2001,12037,Tate,Decker,Tate Decker,SF,81.25,6' 9.25'',,,218,83.75,6' 11.75'',107.0,8' 11'',13.6,,,25.5,28.5,12.19,,3.47,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
